index,node_i,node_j,capacity,x_pu,r_pu,contingency,technology,voltage
line001,bus001,bus002,600,0.0999,0.0303,True,ac,138
line002,bus001,bus003,600,0.0424,0.0129,True,ac,138
line003,bus004,bus005,1700,0.00798,0.00176,True,ac,138
line004,bus003,bus005,600,0.108,0.0241,True,ac,138
line005,bus005,bus006,600,0.054,0.0119,True,ac,138
line006,bus006,bus007,600,0.0208,0.00459,True,ac,138
line007,bus008,bus009,1700,0.0305,0.00244,True,ac,138
line008,bus008,bus005,1700,0.0267,0.0,True,transformer,138
line009,bus009,bus010,3500,0.0322,0.00258,True,ac,138
line010,bus004,bus011,600,0.0688,0.0209,True,ac,138
line011,bus005,bus011,600,0.0682,0.0203,True,ac,138
line012,bus011,bus012,600,0.0196,0.00595,True,ac,138
line013,bus002,bus012,600,0.0616,0.0187,True,ac,138
line014,bus003,bus012,600,0.16,0.0484,True,ac,138
line015,bus007,bus012,600,0.034,0.00862,True,ac,138
line016,bus011,bus013,600,0.0731,0.02225,True,ac,138
line017,bus012,bus014,600,0.0707,0.0215,True,ac,138
line018,bus013,bus015,600,0.2444,0.0744,True,ac,138
line019,bus014,bus015,600,0.195,0.0595,True,ac,138
line020,bus012,bus016,600,0.0834,0.0212,True,ac,138
line021,bus015,bus017,1700,0.0437,0.0132,True,ac,138
line022,bus016,bus017,600,0.1801,0.0454,True,ac,138
line023,bus017,bus018,600,0.0505,0.0123,True,ac,138
line024,bus018,bus019,600,0.0493,0.01119,True,ac,138
line025,bus019,bus020,600,0.117,0.0252,True,ac,138
line026,bus015,bus019,600,0.0394,0.012,True,ac,138
line027,bus020,bus021,600,0.0849,0.0183,True,ac,138
line028,bus021,bus022,600,0.097,0.0209,True,ac,138
line029,bus022,bus023,600,0.159,0.0342,True,ac,138
line030,bus023,bus024,600,0.0492,0.0135,True,ac,138
line031,bus023,bus025,1700,0.08,0.0156,True,ac,138
line032,bus026,bus025,1700,0.0382,0.0,True,transformer,138
line033,bus025,bus027,1700,0.163,0.0318,True,ac,138
line034,bus027,bus028,600,0.0855,0.01913,True,ac,138
line035,bus028,bus029,600,0.0943,0.0237,True,ac,138
line036,bus030,bus017,1700,0.0388,0.0,True,transformer,138
line037,bus008,bus030,600,0.0504,0.00431,True,ac,138
line038,bus026,bus030,1700,0.086,0.00799,True,ac,138
line039,bus017,bus031,600,0.1563,0.0474,True,ac,138
line040,bus029,bus031,600,0.0331,0.0108,True,ac,138
line041,bus023,bus032,600,0.1153,0.0317,True,ac,138
line042,bus031,bus032,600,0.0985,0.0298,True,ac,138
line043,bus027,bus032,600,0.0755,0.0229,True,ac,138
line044,bus015,bus033,600,0.1244,0.038,True,ac,138
line045,bus019,bus034,600,0.247,0.0752,True,ac,138
line046,bus035,bus036,600,0.0102,0.00224,True,ac,138
line047,bus035,bus037,600,0.0497,0.011,True,ac,138
line048,bus033,bus037,600,0.142,0.0415,True,ac,138
line049,bus034,bus036,600,0.0268,0.00871,True,ac,138
line050,bus034,bus037,1700,0.0094,0.00256,True,ac,138
line051,bus038,bus037,1700,0.0375,0.0,True,transformer,138
line052,bus037,bus039,600,0.106,0.0321,True,ac,138
line053,bus037,bus040,600,0.168,0.0593,True,ac,138
line054,bus030,bus038,600,0.054,0.00464,True,ac,138
line055,bus039,bus040,600,0.0605,0.0184,True,ac,138
line056,bus040,bus041,600,0.0487,0.0145,True,ac,138
line057,bus040,bus042,600,0.183,0.0555,True,ac,138
line058,bus041,bus042,600,0.135,0.041,True,ac,138
line059,bus043,bus044,600,0.2454,0.0608,True,ac,138
line060,bus034,bus043,600,0.1681,0.0413,True,ac,138
line061,bus044,bus045,600,0.0901,0.0224,True,ac,138
line062,bus045,bus046,600,0.1356,0.04,True,ac,138
line063,bus046,bus047,600,0.127,0.038,True,ac,138
line064,bus046,bus048,600,0.189,0.0601,True,ac,138
line065,bus047,bus049,600,0.0625,0.0191,True,ac,138
line066,bus042,bus049,600,0.323,0.0715,True,ac,138
line067,bus042,bus049,600,0.323,0.0715,True,ac,138
line068,bus045,bus049,600,0.186,0.0684,True,ac,138
line069,bus048,bus049,600,0.0505,0.0179,True,ac,138
line070,bus049,bus050,600,0.0752,0.0267,True,ac,138
line071,bus049,bus051,600,0.137,0.0486,True,ac,138
line072,bus051,bus052,600,0.0588,0.0203,True,ac,138
line073,bus052,bus053,600,0.1635,0.0405,True,ac,138
line074,bus053,bus054,600,0.122,0.0263,True,ac,138
line075,bus049,bus054,600,0.289,0.073,True,ac,138
line076,bus049,bus054,600,0.291,0.0869,True,ac,138
line077,bus054,bus055,600,0.0707,0.0169,True,ac,138
line078,bus054,bus056,600,0.00955,0.00275,True,ac,138
line079,bus055,bus056,600,0.0151,0.00488,True,ac,138
line080,bus056,bus057,600,0.0966,0.0343,True,ac,138
line081,bus050,bus057,600,0.134,0.0474,True,ac,138
line082,bus056,bus058,600,0.0966,0.0343,True,ac,138
line083,bus051,bus058,600,0.0719,0.0255,True,ac,138
line084,bus054,bus059,600,0.2293,0.0503,True,ac,138
line085,bus056,bus059,600,0.251,0.0825,True,ac,138
line086,bus056,bus059,600,0.239,0.0803,True,ac,138
line087,bus055,bus059,600,0.2158,0.04739,True,ac,138
line088,bus059,bus060,600,0.145,0.0317,True,ac,138
line089,bus059,bus061,600,0.15,0.0328,True,ac,138
line090,bus060,bus061,1700,0.0135,0.00264,True,ac,138
line091,bus060,bus062,600,0.0561,0.0123,True,ac,138
line092,bus061,bus062,600,0.0376,0.00824,True,ac,138
line093,bus063,bus059,1700,0.0386,0.0,True,transformer,138
line094,bus063,bus064,1700,0.02,0.00172,True,ac,138
line095,bus064,bus061,1700,0.0268,0.0,True,transformer,138
line096,bus038,bus065,1700,0.0986,0.00901,True,ac,138
line097,bus064,bus065,1700,0.0302,0.00269,True,ac,138
line098,bus049,bus066,1700,0.0919,0.018,True,ac,138
line099,bus049,bus066,1700,0.0919,0.018,True,ac,138
line100,bus062,bus066,600,0.218,0.0482,True,ac,138
line101,bus062,bus067,600,0.117,0.0258,True,ac,138
line102,bus065,bus066,1700,0.037,0.0,True,transformer,138
line103,bus066,bus067,600,0.1015,0.0224,True,ac,138
line104,bus065,bus068,1700,0.016,0.00138,True,ac,138
line105,bus047,bus069,600,0.2778,0.0844,True,ac,138
line106,bus049,bus069,600,0.324,0.0985,True,ac,138
line107,bus068,bus069,1700,0.037,0.0,True,transformer,138
line108,bus069,bus070,1700,0.127,0.03,True,ac,138
line109,bus024,bus070,600,0.4115,0.00221,True,ac,138
line110,bus070,bus071,600,0.0355,0.00882,True,ac,138
line111,bus024,bus072,600,0.196,0.0488,True,ac,138
line112,bus071,bus072,600,0.18,0.0446,True,ac,138
line113,bus071,bus073,600,0.0454,0.00866,True,ac,138
